TamanoVector,NumAsignaciones,NumComparaciones,Tiempo(secs),Indice
20000,1546,475,0.071,1
40000,6002,1783,0.084,2
60000,19830,5886,0.49,3
80000,5654,1916,0.096,4
100000,9174,2679,0.289,5
120000,3186,936,0.159,6
140000,5410,1584,0.263,7
160000,3686,1251,0.135,8
180000,13080,4020,0.307,9
200000,18274,5647,1.254,10
220000,5148,1524,0.746,11
240000,12960,3987,1.06,12
260000,4436,1310,0.536,13
280000,16394,4899,1.638,14
300000,19010,5750,2.274,15
320000,24434,7215,2.489,16
340000,20762,6598,1.165,17
360000,33832,10198,2.837,18
380000,53024,15619,6.087,19
400000,10552,3137,1.461,20
