Tamano vector,Num asignaciones,Num comparaciones,Tiempo (secs),Indice
20000,824,43726,0.00584,1
40000,4448,109220,0.00651,2
60000,15766,234348,0.00601,3
80000,10482,261415,0.00573,4
100000,6526,257430,0.0056,5
120000,180,245343,0.00491,6
140000,5272,313286,0.00713,7
160000,8212,372486,"0,008",8
180000,17574,555066,0.01328,9
200000,5886,530854,0.01115,10
220000,4738,469162,0.01051,11
240000,1882,607292,0.00245,12
260000,1734,536800,0.00208,13
280000,12008,643490,0.00261,14
300000,13770,760093,0.00315,15
320000,4824,896661,0.00352,16
340000,33776,1189215,0.00469,17
360000,12600,1305516,"0,021",18
380000,37732,1432573,0.01769,19
400000,9558,873813,0.00528,20
